time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Datetime,sentimentScore
2016-05-09,2016-05-09T15:00:00.0000000Z,2016-05-09T13:32:02.4140000Z,2016-05-09T14:32:36.8310000Z,12.0,12.0,9.55,10.0,668.33619,24,2016-05-09,0.2
2016-05-09,2016-05-09T18:00:00.0000000Z,2016-05-09T15:46:14.9850000Z,2016-05-09T17:44:51.9020000Z,9.99,9.99,9.48,9.49,402.90623007,15,2016-05-09,0.2
2016-05-09,2016-05-09T21:00:00.0000000Z,2016-05-09T18:38:43.9670000Z,2016-05-09T20:26:49.4760000Z,9.36,9.99,9.36,9.97,112.4542,5,2016-05-09,0.2
2016-05-09,2016-05-10T00:00:00.0000000Z,2016-05-09T21:05:05.5270000Z,2016-05-09T23:04:26.9530000Z,9.94,9.98,9.36,9.98,134.20612,6,2016-05-09,0.2
2016-06-09,2016-06-09T18:00:00.0000000Z,2016-06-09T15:33:22.5865670Z,2016-06-09T17:54:07.4434340Z,14.65,14.7,14.57,14.57,1356.77175192,68,2016-06-09,0.28
2016-06-09,2016-06-09T21:00:00.0000000Z,2016-06-09T18:10:41.2283510Z,2016-06-09T18:59:42.9223390Z,14.57,14.68,14.57,14.65,561.48952666,27,2016-06-09,0.28
2016-06-10,2016-06-10T21:00:00.0000000Z,2016-06-10T18:14:42.0203860Z,2016-06-10T20:55:41.6756860Z,14.19,14.26,13.76,14.09,5054.92772507,263,2016-06-10,0.28
2016-06-10,2016-06-11T00:00:00.0000000Z,2016-06-10T21:11:37.2660420Z,2016-06-10T23:56:23.2469820Z,14.08,14.17,13.87,13.91,1792.54084378,154,2016-06-10,0.28
2016-06-11,2016-06-11T03:00:00.0000000Z,2016-06-11T00:03:38.6373100Z,2016-06-11T02:53:09.0092110Z,13.93,14.11,13.86,13.96,834.5774004,86,2016-06-11,0.28
2016-06-11,2016-06-11T06:00:00.0000000Z,2016-06-11T03:04:36.8782660Z,2016-06-11T05:41:44.7820040Z,13.98,14.04,13.95,14.04,904.89101354,39,2016-06-11,0.28
2016-06-11,2016-06-11T09:00:00.0000000Z,2016-06-11T06:07:02.6238290Z,2016-06-11T08:53:49.1949600Z,14.04,14.06,13.92,13.92,952.60755943,74,2016-06-11,0.28
2016-06-11,2016-06-11T12:00:00.0000000Z,2016-06-11T09:20:41.1047700Z,2016-06-11T11:27:23.7349510Z,13.92,14.05,13.91,14.05,1144.42042687,17,2016-06-11,0.28
2016-06-11,2016-06-11T15:00:00.0000000Z,2016-06-11T12:43:34.4102160Z,2016-06-11T14:33:36.7598270Z,13.99,14.07,13.92,14.07,984.90194631,36,2016-06-11,0.28
2016-06-11,2016-06-11T18:00:00.0000000Z,2016-06-11T15:07:50.4213180Z,2016-06-11T17:49:47.0095390Z,13.98,14.2,13.98,14.14,503.36756494,54,2016-06-11,0.28
2016-06-11,2016-06-11T21:00:00.0000000Z,2016-06-11T18:00:29.0261140Z,2016-06-11T20:34:03.4563000Z,14.14,14.29,14.04,14.15,1034.05601616,119,2016-06-11,0.28
2016-06-11,2016-06-12T00:00:00.0000000Z,2016-06-11T21:07:28.6476230Z,2016-06-11T23:59:55.3640050Z,14.15,14.2,14.0,14.1,972.52385566,124,2016-06-11,0.28
2016-06-12,2016-06-12T03:00:00.0000000Z,2016-06-12T00:00:58.2260200Z,2016-06-12T02:40:36.0902530Z,14.14,14.42,13.92,14.41,2824.02175685,429,2016-06-12,0.3
2016-06-12,2016-06-12T06:00:00.0000000Z,2016-06-12T03:19:51.2441860Z,2016-06-12T05:58:07.5208040Z,14.38,14.59,14.38,14.56,797.90761851,190,2016-06-12,0.3
2016-06-12,2016-06-12T09:00:00.0000000Z,2016-06-12T06:11:40.7357840Z,2016-06-12T08:14:13.0383100Z,14.56,14.56,14.42,14.54,296.04245339,28,2016-06-12,0.3
2016-06-12,2016-06-12T12:00:00.0000000Z,2016-06-12T09:09:15.2040250Z,2016-06-12T11:20:03.2773130Z,14.52,14.52,14.28,14.37,112.78473754,10,2016-06-12,0.3
2016-06-12,2016-06-12T15:00:00.0000000Z,2016-06-12T12:11:08.9775050Z,2016-06-12T14:59:55.8689530Z,14.36,14.75,14.32,14.75,1531.62706106,58,2016-06-12,0.3
2016-06-12,2016-06-12T18:00:00.0000000Z,2016-06-12T15:10:03.2111510Z,2016-06-12T17:57:57.3786940Z,14.65,15.57,14.65,15.54,6361.78959792,330,2016-06-12,0.3
2016-06-12,2016-06-12T21:00:00.0000000Z,2016-06-12T18:01:32.5771090Z,2016-06-12T20:33:21.2476330Z,15.54,15.54,14.94,15.29,5592.86430803,119,2016-06-12,0.3
2016-06-12,2016-06-13T00:00:00.0000000Z,2016-06-12T21:02:17.4971760Z,2016-06-12T23:52:20.6899120Z,15.35,15.91,15.05,15.58,2217.41511903,124,2016-06-12,0.3
2016-06-13,2016-06-13T03:00:00.0000000Z,2016-06-13T00:00:30.2181920Z,2016-06-13T02:55:32.5059730Z,15.91,15.94,15.49,15.88,1781.14264441,80,2016-06-13,0.3
2016-06-13,2016-06-13T06:00:00.0000000Z,2016-06-13T03:08:04.9735230Z,2016-06-13T05:58:03.0753190Z,15.87,15.98,15.74,15.98,1656.75080244,53,2016-06-13,0.3
2016-06-13,2016-06-13T09:00:00.0000000Z,2016-06-13T06:01:09.2308210Z,2016-06-13T08:52:30.9536410Z,15.98,16.78,15.98,16.74,1597.60435225,96,2016-06-13,0.3
2016-06-13,2016-06-13T12:00:00.0000000Z,2016-06-13T09:02:12.4588470Z,2016-06-13T11:54:55.3891590Z,16.74,16.75,16.32,16.75,1243.97886398,74,2016-06-13,0.3
2016-06-13,2016-06-13T15:00:00.0000000Z,2016-06-13T12:01:13.2385880Z,2016-06-13T14:58:44.7592240Z,16.75,17.25,16.61,17.25,3950.76080524,208,2016-06-13,0.3
2016-06-13,2016-06-13T18:00:00.0000000Z,2016-06-13T15:00:46.2927450Z,2016-06-13T17:56:39.9440960Z,17.25,17.65,16.91,17.36,4416.0687218,233,2016-06-13,0.3
2016-06-13,2016-06-13T21:00:00.0000000Z,2016-06-13T18:01:57.9694710Z,2016-06-13T20:58:48.2918400Z,17.37,17.53,17.11,17.25,2711.16204267,118,2016-06-13,0.3
2016-06-13,2016-06-14T00:00:00.0000000Z,2016-06-13T21:01:06.1774170Z,2016-06-13T23:52:46.7570560Z,17.38,17.93,17.11,17.89,6781.81484827,241,2016-06-13,0.3
2016-06-14,2016-06-14T03:00:00.0000000Z,2016-06-14T00:00:53.3748990Z,2016-06-14T02:53:03.4197370Z,17.86,17.98,17.16,17.86,3832.12012191,310,2016-06-14,0.3
2016-06-14,2016-06-14T06:00:00.0000000Z,2016-06-14T03:03:20.7158780Z,2016-06-14T05:58:17.9048380Z,17.85,19.06,17.85,18.87,3824.08394266,336,2016-06-14,0.3
2016-06-14,2016-06-14T09:00:00.0000000Z,2016-06-14T06:00:27.5297800Z,2016-06-14T07:48:43.8652240Z,18.85,19.04,18.35,18.35,2541.84568639,164,2016-06-14,0.3
2016-06-14,2016-06-14T12:00:00.0000000Z,2016-06-14T09:01:24.1072730Z,2016-06-14T11:59:36.0204880Z,18.53,19.08,18.27,18.5,2617.42569237,96,2016-06-14,0.3
2016-06-14,2016-06-14T15:00:00.0000000Z,2016-06-14T12:10:54.1522330Z,2016-06-14T14:49:21.3005210Z,18.45,18.83,18.23,18.3,4015.57358945,138,2016-06-14,0.3
